EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;AC-MONTAGE WECHSELRICHTER SMA;;
Untertitel;Montage und Lieferung SMA Hybrid-Wechselrichter;;
Beschreibung_fett;Materialien:;;
;- SMA Sunny Tripower Smart Energy Hybrid-Wechselrichter inkl. SMA Home Manager 2.0;;
;- DC-Überspannungsschutz;;
;- Zuleitung Wechselrichter;;
;- Netzwerkleitung;;
;- Notwendiges Kleinmaterial und Leitungen;;
Beschreibung_fett;Leistungen:;;
;- Montage und Anschluss Wechselrichter;;
;"- Leitungsverlegung String- und Erdungsleitung bis Wechselrichter (Aufputz)
maximal 20 m Kabel im weißen Kunststoff oder weißen Blechkanal";;
;- Anschluss an die Zähleranlage;;
;- Inbetriebnahme;;
;- Restmaterial-/Verpackungsmüllentsorgung;;
;- Anmeldung und Registrierung im Marktstammdatenregister;;
;;;
100BJW803;SMA Hybrid-Wechselrichter 5.0 (5,0 kW);€/Stk.;5402,5
H66TG220001;SMA Hybrid-Wechselrichter 6.0 (6,0 kW);€/Stk.;5511,4
H66TG220501;SMA Hybrid-Wechselrichter 8.0 (8,0 kW);€/Stk.;5696,1
H66TG221001;SMA Hybrid-Wechselrichter 10.0 (10,0 kW);€/Stk.;5910,6
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
