EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis;Bild
Titel;BATTERIESPEICHER Fronius;;;
Untertitel;Montage und Lieferung Fronius Batteriespeicher;;;
Beschreibung_fett;Materialien:;;;
;- Fronius Batteriespeicher Reserva;;;
;- Notwendiges Kleinmaterial und Leitungen;;;
Beschreibung_fett;Leistungen:;;;
;- Montage und Anschluss Speicher;;;
;- Inbetriebnahme;;;
;- Restmaterial-/Verpackungsmüllentsorgung;;;
;;;;
100BJW825;6,3 kWh - BATTERIESPEICHER Fronius;€/Stk.;4962,2;24
100BJW826;9,5 kWh - BATTERIESPEICHER Fronius;€/Stk.;6345;
100BJW827;12,6 kWh - BATTERIESPEICHER Fronius;€/Stk.;7736;
100BJW828;15,8 kWh - BATTERIESPEICHER Fronius;€/Stk.;9125,1;
;;;;
Untertitel;Mehrpreis Smart Meter TS 5kA-3 inklusive Meßwandler;;;
;;;;
100BJW819;Smart Meter TS 5kA-3;€/Stk.;399,1;25
;;;;
Untertitel;Mehrpreis Smart Meter IP;;;
;KI-basiertes Energiemanagement und dynamische Stromtarife nutzen;;;
;Der Energiekosten-Assistent ist eine KI-gestützte Funktion in der Fronius Solar.web Premium App, die automatisch die Speicherstrategie des Batteriesystems optimiert, um Stromkosten zu senken.;;;
;Er analysiert kontinuierlich die voraussichtliche Solarstromproduktion, den Energieverbrauch des Haushalts und den aktuellen Strompreis, um das Laden und Entladen der Batterie an günstige Stromtarife anzupassen.;;;
;Für die Nutzung ist eine Froius PV-Anlage mit GEN24 Plus- oder Verto Plus-Wechselrichter, ein kompatibler Batteriespeicher, ein flexibler Stromtarif sowie ein Fronius Solar.web Premium-Account erforderlich.;;;
;;;;
100BJW820;Smart Meter IP;€/Stk.;545,44;26
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
