EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis;Bild
Titel;Extras;;;
Untertitel;Vorbereitung Wärmepumpenanschluss;;;
Beschreibung_fett;Materialien:;;;
;- 1x FI Typ B 40A/30mA;;;
;- 2x 3polig B 16;;;
;- notwendiges Klein- und Verdrahtungsmaterial;;;
Beschreibung_fett;Leistungen:;;;
;- Bestückung und Verdrahtung des Zählerschranks mit FI-Schutzschalter Typ B und Leitungsschutzschalter;;;
;;;;
H66TG301501;Vorbereitung Wärmepumpenanschluss;€/Stk.;708,6;15
;;;;
Untertitel;Ansteuerung Wärmepumpe Smart Grid;;;
Beschreibung_fett;Materialien:;;;
;- Miniverteiler Aufputz;;;
;- Schaltrelais mit Schließkontakt;;;
;- Netzwerkleitung;;;
;- ggf. Kabelkanal;;;
;- notwendiges Klein- und Verdrahtungsmaterial;;;
Beschreibung_fett;Leistungen:;;;
;- Montieren des Miniverteilers;;;
;- Bestückung und Verdrahtung des Schaltrelais;;;
;- Programmierung des Wechselrichters auf gewünschte Werte;;;
;- Herstellen einer Kabelverbindung von Wechselrichter zu Wärmepumpe;;;
;- ggf. Ausbauen des Kabelwegs;;;
Beschreibung_fett;In Leistung nicht enthalten:;;;
;- Die Verdrahtung und Programmierung an der Wärmepumpe können wir nicht vornehmen, sodass der zuständige Heizungsbauer vorzugsweise am selben Tag vor Ort sein sollte.;;;
;;;;
H66TG304501;Smart Grid;€/Stk.;248,6;16
;;;;
Untertitel;Externes APZ-Feld nachrüsten;;;
Beschreibung_fett;Materialien:;;;
;- Spannungsabgriff;;;
;- Netzwerkleitung;;;
;- notwendiges Kleinmaterial und Leitungen;;;
Beschreibung_fett;Leistungen:;;;
;- Montieren des APZ-Feldes;;;
;- Errichtung eines geschlossenen Kabelweges zwischen APZ-Feld und Zählerschrank (NAR);;;
;;;;
H66TG302001;Externes APZ-Feld;€/Stk.;463,9;33
;;;;
Untertitel;Überspannungsschutz nachrüsten;;;
Beschreibung_fett;Materialien:;;;
;- Kombiableiter Typ 1+2;;;
Beschreibung_fett;Leistungen:;;;
;- Montieren des Kombiableiters auf Sammelschiene;;;
;- Herstellen einer Verbindung zu vorhandener Potentialausgleichsschiene;;;
;;;;
H66TG302501;Überspannungsschutz;€/Stk.;495,3;34
;;;;
Untertitel;Tiefenerder inkl. Leitungsverlegung und Anschluss an vorhandene Potentialausgleichsschiene;;;
Beschreibung_fett;Materialien:;;;
;- Tiefenerder V4A;;;
;- Schutzleiter;;;
Beschreibung_fett;Leistungen:;;;
;- Eintreiben des Tiefenerders;;;
;- Montage der Anschlussklemme;;;
;- Verlegen und Anklemmen des Schutzleiters von der Tiefenerderanschlussklemme bis zur vorhandenen Potentialausgleichschiene;;;
;;;;
H66TG305001;Tiefenerder;€/Stk.;966,4;35
