EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;BATTERIESPEICHER SMA;;
Untertitel;Montage und Lieferung SMA Batteriespeicher;;
Beschreibung_fett;Materialien:;;
;- Stromspeicher SMA Home Storage;;
;- Notwendiges Kleinmaterial und Leitungen;;
Beschreibung_fett;Leistungen:;;
;- Montage und Anschluss Speicher;;
;- Inbetriebnahme;;
;- Restmaterial-/Verpackungsmüllentsorgung;;
;;;
100BJW804;Batteriespeicher SMA - 3,2 kWh;€/Stk.;2452,5
100BJW805;Batteriespeicher SMA - 6,0 kWh;€/Stk.;4628,1
100BJW806;Batteriespeicher SMA - 8,0 kWh;€/Stk.;6569,6
100BJW807;Batteriespeicher SMA - 10,0 kWh;€/Stk.;10452,7
