EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Wallbox a-TroniX;;
Untertitel;Montage und Lieferung Wallbox;;
Beschreibung_fett;Materialien:;;
;- a-TroniX AX Wallbox 3-phasig;;
;- Leitungen und Verlegesystem;;
;- Klein- und Sicherungsmaterial;;
Beschreibung_fett;Leistungen:;;
;- Montage und Anschluss Wallbox;;
;- Leitungsverlegung zum Standort der Wallbox bis max. 20 m (Aufputz);;
;- Inbetriebnahme;;
;;;
100BJY043;Wallbox a-TroniX 11 kW AX-11KP1;€/Stk.;1273,2
100BJY044;Wallbox a-TroniX 22 kW AX-22KP1;€/Stk.;1350,4
