EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis;Bild
Titel;BATTERIESPEICHER BYD;;;
Untertitel;Montage und Lieferung BYD Speicher;;;
Beschreibung_fett;Materialien:;;;
;- Speicher BYD Battery-Box Premium;;;
;- Notwendiges Kleinmaterial und Leitungen;;;
Beschreibung_fett;Leistungen:;;;
;- Montage und Anschluss Speicher;;;
;- Inbetriebnahme;;;
;- Restmaterial-/Verpackungsmüllentsorgung;;;
;;;;
H66TG310001;BYD-Speicher 5,1 kWh HVS Modul;€/Stk.;4133,8;10
H66TG310501;BYD-Speicher 7,7 kWh HVS Modul;€/Stk.;5454;
H66TG311001;BYD-Speicher 10,2 kWh HVS Modul;€/Stk.;6774,1;
H66TG311501;BYD-Speicher 12,8 kWh HVS Modul;€/Stk.;8094,3;
100BKG126;BYD-Speicher 16,6 kWh HVM Modul;€/Stk.;9414,4;
100BKG124;BYD-Speicher 19,3 kWh HVM Modul;€/Stk.;10734,6;
100BKG125;BYD-Speicher 22,1 kWh HVM Modul;€/Stk.;12054,7;
;;;;
Untertitel;Erweiterung BYD Speicher;;;
Beschreibung_fett;Materialien:;;;
;- Speicher BYD Batterybox Premium HVS Modul;;;
Beschreibung_fett;Leistungen:;;;
;- Montage zusätzliches BYD HVS Modul;;;
;;;;
H66TG312001;Erweiterung BYD Speicher 2,56 kWh;€/Stk.;1643,1;32
