EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis;Bild
Titel;AC-MONTAGE WECHSELRICHTER a-TroniX;;;
Untertitel;Montage und Lieferung AX Hybrid-Wechselrichter;;;
Beschreibung_fett;Materialien:;;;
;- a-TroniX AX Hybrid Wechselrichter 3-phasig inkl. Smart Energy Meter;;;
;- DC-Überspannungsschutz;;;
;- Zuleitung Wechselrichter;;;
;- Netzwerkleitung;;;
;- Notwendiges Kleinmaterial und Leitungen;;;
Beschreibung_fett;Leistungen:;;;
;- Montage und Anschluss Wechselrichter;;;
;- Leitungsverlegung String- und Erdungsleitung bis Wechselrichter (Aufputz) maximal 20 m Kabel im weißen Kunststoff oder weißen Blechkanal (andere Ausführungen gegen Aufpreis möglich);;;
;- Anschluss an die Zähleranlage;;;
;- Inbetriebnahme;;;
;- Restmaterial-/Verpackungsmüllentsorgung;;;
;- Anmeldung und Registrierung im Marktstammdatenregister;;;
;;;;
100BJZ381;WECHSELRICHTER a-TroniX 5.0 (5.0 kW);€/Stk.;3693,4;19
100BJZ382;WECHSELRICHTER a-TroniX 6.0 (6.0 kW);€/Stk.;3756,5;
100BJZ383;WECHSELRICHTER a-TroniX 8.0 (8.0 kW);€/Stk.;3859,2;
100BJZ384;WECHSELRICHTER a-TroniX 10.0 (10.0 kW);€/Stk.;3935,5;
100BJZ385;WECHSELRICHTER a-TroniX 12.0 (12.0 kW);€/Stk.;3985,4;
;;;;
Untertitel;Montage und Lieferung AX Plus Hybrid-Wechselrichter;;;
Beschreibung_fett;Materialien:;;;
;- a-TroniX AX Plus Hybrid Wechselrichter 3-phasig inkl. Smart Energy Meter;;;
;- DC-Überspannungsschutz;;;
;- Zuleitung Wechselrichter;;;
;- Netzwerkleitung;;;
;- Notwendiges Kleinmaterial und Leitungen;;;
Beschreibung_fett;Leistungen:;;;
;- Montage und Anschluss Wechselrichter;;;
;- Leitungsverlegung String- und Erdungsleitung bis Wechselrichter (Aufputz) maximal 20 m Kabel im weißen Kunststoff oder weißen Blechkanal (andere Ausführungen gegen Aufpreis möglich);;;
;- Anschluss an die Zähleranlage;;;
;- Inbetriebnahme;;;
;- Restmaterial-/Verpackungsmüllentsorgung;;;
;- Anmeldung und Registrierung im Marktstammdatenregister;;;
;;;;
100BJY029;AX Plus WECHSELRICHTER a-TroniX 5.0 (5.0 kW);€/Stk.;3927,4;20
100BJY030;AX Plus WECHSELRICHTER a-TroniX 6.0 (6.0 kW);€/Stk.;3990,5;
100BJY031;AX Plus WECHSELRICHTER a-TroniX 8.0 (8.0 kW);€/Stk.;4093,2;
100BJY032;AX Plus WECHSELRICHTER a-TroniX 10.0 (10.0 kW);€/Stk.;4169,5;
100BJY033;AX Plus WECHSELRICHTER a-TroniX 12.0 (12.0 kW);€/Stk.;4219,4;
100BJY034;AX Plus WECHSELRICHTER a-TroniX 15.0 (15.0 kW);€/Stk.;4275,5;
