EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis;Bild
Titel;AC-MONTAGE WECHSELRICHTER Fronius;;;
Untertitel;Montage und Lieferung Fronius GEN24 Plus Hybrid-Wechselrichter;;;
Beschreibung_fett;Materialien:;;;
;- Fronius Hybrid-Wechselrichter GEN24 Plus inkl. Smart Energy Meter;;;
;- DC-Überspannungsschutz;;;
;- Zuleitung Wechselrichter;;;
;- Netzwerkleitung;;;
;- Notwendiges Kleinmaterial und Leitungen;;;
Beschreibung_fett;Leistungen:;;;
;- Montage und Anschluss Wechselrichter;;;
;- Leitungsverlegung String- und Erdungsleitung bis Wechselrichter (Aufputz) maximal 20 m Kabel im weißen Kunststoff oder weißen Blechkanal;;;
;- Anschluss an die Zähleranlage;;;
;- Inbetriebnahme;;;
;- Restmaterial-/Verpackungsmüllentsorgung;;;
;- Anmeldung und Registrierung im Marktstammdatenregister;;;
;;;;
H66TG240001;Hybrid-Wechselrichter Fronius GEN24 Plus 3.0 (3,0 kW);€/Stk.;4134,3;3
H66TG240501;Hybrid-Wechselrichter Fronius GEN24 Plus 4.0 (4,0 kW);€/Stk.;4471,2;
H66TG241001;Hybrid-Wechselrichter Fronius GEN24 Plus 5.0 (5,0 kW);€/Stk.;4602,8;
H66TG241501;Hybrid-Wechselrichter Fronius GEN24 Plus 6.0 (6,0 kW);€/Stk.;5099,5;
H66TG242001;Hybrid-Wechselrichter Fronius GEN24 Plus 8.0 (8,0 kW);€/Stk.;5602;
H66TG242501;Hybrid-Wechselrichter Fronius GEN24 Plus 10.0 (10,0 kW);€/Stk.;5763,5;
100BJW808;Hybrid-Wechselrichter Fronius GEN24 Plus 12.0 (12,0 kW);€/Stk.;5951,3;
;;;;
Untertitel;Montage und Lieferung Fronius Verto Plus Hybrid-Wechselrichter;;;
Beschreibung_fett;Materialien:;;;
;- Fronius Hybrid-Wechselrichter Verto Plus inkl. Smart Energy Meter;;;
;- DC-Überspannungsschutz;;;
;- Zuleitung Wechselrichter;;;
;- Netzwerkleitung;;;
;- Notwendiges Kleinmaterial und Leitungen;;;
Beschreibung_fett;Leistungen:;;;
;- Montage und Anschluss Wechselrichter;;;
;- Leitungsverlegung String- und Erdungsleitung bis Wechselrichter (Aufputz) maximal 20 m Kabel im weißen Kunststoff oder weißen Blechkanal;;;
;- Anschluss an die Zähleranlage;;;
;- Inbetriebnahme;;;
;- Restmaterial-/Verpackungsmüllentsorgung;;;
;- Anmeldung und Registrierung im Marktstammdatenregister;;;
;;;;
100BJW809;Hybrid-Wechselrichter Fronius Verto Plus 15.0 (15,0 kW);€/Stk.;7206,9;28
100BJW810;Hybrid-Wechselrichter Fronius Verto Plus 17.5 (17,5 kW);€/Stk.;7537,1;
100BJW811;Hybrid-Wechselrichter Fronius Verto  Plus 20.0 (20,0 kW);€/Stk.;7867,3;
100BJW812;Hybrid-Wechselrichter Fronius Verto Plus 25.0 (25,0 kW);€/Stk.;8362,7;
100BJW813;Hybrid-Wechselrichter Fronius Verto Plus 30.0 (30,0 kW);€/Stk.;8747,9;
100BJW814;Hybrid-Wechselrichter Fronius Verto Plus 33.3 (33,3 kW);€/Stk.;8968,1;
