EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis;Bild
Titel;BATTERIESPEICHER a-TroniX;;;
Untertitel;Montage und Lieferung Batteriespeicher;;;
Beschreibung_fett;Materialien:;;;
;- a-TroniX AX Solarspeicher-Set;;;
;- Notwendiges Kleinmaterial und Leitungen;;;
Beschreibung_fett;Leistungen:;;;
;- Montage und Anschluss Speicher;;;
;- Inbetriebnahme;;;
;- Restmaterial-/Verpackungsmüllentsorgung;;;
;;;;
100BJY035;5,8 kWh - BATTERIESPEICHER a-TroniX;€/Stk.;3495,5;21
100BJY036;8,6 kWh - BATTERIESPEICHER a-TroniX;€/Stk.;4737,5;
100BJY037;11,5 kWh - BATTERIESPEICHER a-TroniX;€/Stk.;5979,5;
100BJY038;14,4 kWh - BATTERIESPEICHER a-TroniX;€/Stk.;7221,4;
100BJY039;17,3 kWh - BATTERIESPEICHER a-TroniX;€/Stk.;8463,4;
100BJY040;20,2 kWh - BATTERIESPEICHER a-TroniX;€/Stk.;9705,4;
;;;;
Untertitel;Montage und Lieferung Batteriespeicher 5.0 Wandmontage;;;
Beschreibung_fett;Materialien:;;;
;- a-TroniX AX Solarspeicher-Set;;;
;- Notwendiges Klein- und Sicherungsmaterial und Leitungen;;;
Beschreibung_fett;Leistungen:;;;
;- Montage und Anschluss Speicher;;;
;- Inbetriebnahme;;;
;- Restmaterial-/Verpackungsmüllentsorgung;;;
;;;;
100BJY041;5,0 kWh - BATTERIESPEICHER a-TroniX - Wandmontage;€/Stk.;2513,82;22
;;;;
Untertitel;Montage und Lieferung Energiemanager;;;
Beschreibung_fett;Materialien:;;;
;- a-TroniX AX Core HEMS Pro Extended;;;
;- Patchkabel;;;
;- Notwendiges Kleinmaterial und Leitungen;;;
Beschreibung_fett;Leistungen:;;;
;- Montage und Verdrahten des a-TroniX AX Core HEMS Pro Extended;;;
;- Herstellen einer Netzwerkverbindung zwischen a-TroniX AX Core HEMS Pro Extended und Heimrouter;;;
;- Einrichtung des a-TroniX AX Core HEMS Pro Extended;;;
Beschreibung_fett;Hinweis:;;;
;- Das a-TroniX AX Core HEMS benötigt eine Netzwerkverbindung per Kabel zum Heimrouter. Sollte die Herstellung dieser Verbindung mit einem erhöhtem Aufwand verbunden sein, behalten wir uns vor, den Mehraufwand gesondert in Rechnung zu stellen;;;
;;;;
100BJY042;a-TroniX Energiemanager;€/Stk.;776,1;23
